"Date","Main Pollutant","Overall AQI Value","CO","SO2","NO2","Ozone","PM10","PM25"
"01/01/2011","PM2.5","60","10","6","45","26","30","60"
"01/02/2011","PM2.5","66","13","7","46","26","33","66"
"01/03/2011","PM2.5","93","8","7","50","23","44","93"
"01/04/2011","PM2.5","138","9","7","55","10","58","138"
"01/05/2011","PM2.5","134","16","10","58","10","66","134"
"01/06/2011","PM2.5","151","18","10","66","9","64","151"
"01/07/2011","PM2.5","156","9","7","58","11","65","156"
"01/08/2011","PM2.5","158","9","7","58","7","66","158"
"01/09/2011","PM2.5","80","6","7","46","19","37","80"
"01/10/2011","PM2.5","62","7","7","47","22","29","62"
"01/11/2011","PM2.5","64","13","9","53","13","52","64"
"01/12/2011","PM2.5","97","14","10","60","6","59","97"
"01/13/2011","PM2.5","109","13","10","54","8","61","109"
"01/14/2011","PM2.5","120","10","7","50","10","55","120"
"01/15/2011","PM2.5","119","11","9","44","8","56","119"
"01/16/2011","PM2.5","84","11","7","44","4","40","84"
"01/17/2011","NO2","37","11","10","37","19","27","28"
"01/18/2011","NO2","39","14","13","39","19","31","23"
"01/19/2011","NO2","30","6","9","30","29","18","15"
"01/20/2011","PM2.5","40","7","9","38","28","29","40"
"01/21/2011","PM2.5","53","14","10","42","13","31","53"
"01/22/2011","NO2","36","8","9","36","32","19","31"
"01/23/2011","NO2","37","8","11","37","31","24","32"
"01/24/2011","PM2.5","57","15","10","42","18","44","57"
"01/25/2011","PM2.5","61","11","7","45","5","32","61"
"01/26/2011","PM2.5","75","11","9","42","10","36","75"
"01/27/2011","PM2.5","82","10","9","36","14","48","82"
"01/28/2011","PM2.5","108","6","10","38","12","55","108"
"01/29/2011","PM2.5","121","5","13","37","11","56","121"
"01/30/2011","PM2.5","108","5","9","37","8","47","108"
"01/31/2011","PM2.5","45","3","10","26","35","29","45"
"02/01/2011","PM10","43","2","7","8","37","43","10"
"02/02/2011","NO2","39",".","7","39","33","30","20"
"02/03/2011","PM2.5","51","7","10","41","24","42","51"
"02/04/2011","PM2.5","79","7","10","48","11","54","79"
"02/05/2011","PM2.5","51","9","9","40","28","33","51"
"02/06/2011","PM2.5","51","13","7","36","36","18","51"
"02/07/2011","PM10","34","6","11","32","30","34","23"
"02/08/2011","PM10","41","3","10","9","36","41","19"
"02/09/2011","NO2","34","3","7","34","30","25","30"
"02/10/2011","PM2.5","37","9","10","36","28","31","37"
"02/11/2011","PM10","53","9","9","42","27","53","49"
"02/12/2011","PM2.5","43","10","14","42","28","27","43"
"02/13/2011","NO2","39","11","11","39","34","16","21"
"02/14/2011","NO2","41","8","17","41","36","30","24"
"02/15/2011","NO2","45","9","16","45","44","32","16"
"02/16/2011","PM10","88",".","9","12",".","88","28"
"02/17/2011","NO2","37","7","10","37","36","22","17"
"02/18/2011","Ozone","42","5","26","35","42","13","12"
"02/19/2011","Ozone","39","5","7","32","39","7","16"
"02/20/2011","Ozone","37","5","6","37","37","20","15"
"02/21/2011","Ozone","36","6","4","34","36","18","22"
"02/22/2011","Ozone","40","5","9","38","40","31","12"
"02/23/2011","NO2","42","5","11","42","36","14","23"
"02/24/2011","PM2.5","48","7","9","39","26","33","48"
"02/25/2011","Ozone","43","3","7","25","43","22","23"
"02/26/2011","Ozone","41","3","1","16","41","6","14"
"02/27/2011","Ozone","44","3","1","27","44","6","19"
"02/28/2011","NO2","45","9","3","45","37","19","22"
"03/01/2011","NO2","48","11","3","48","29","27","36"
"03/02/2011","NO2","41","9","9","41","36","24","20"
"03/03/2011","NO2","39","5","29","39","36","14","22"
"03/04/2011","Ozone","41","7","3","35","41","21","18"
"03/05/2011","Ozone","42","6","7","37","42","17","13"
"03/06/2011","Ozone","37","5","3","34","37","9","18"
"03/07/2011","Ozone","32","5","4","32","32","7","28"
"03/08/2011","NO2","41","7","4","41","39","11","27"
"03/09/2011","NO2","42","7","4","42","29","20","20"
"03/10/2011","Ozone","42","8","4","41","42","35","22"
"03/11/2011","Ozone","39","3","4","36","39","14","14"
