"Date","Main Pollutant","Overall AQI Value","CO","SO2","NO2","Ozone","PM10","PM25"
"05/17/2012","Ozone","74","5","6","45","74","40","38"
"05/18/2012","PM2.5","59","3","4","43","50","30","59"
"05/19/2012","Ozone","67","3","4","43","67","24","38"
"05/20/2012","Ozone","84","6","14","42","84","19","29"
"05/21/2012","Ozone","100","5","27","49","100","34","35"
"05/22/2012","Ozone","67","3","6","26","67","32","39"
"05/23/2012","Ozone","64","2","4","7","64","29","21"
"05/24/2012","Ozone","61","3","4","14","61","19","23"
"05/25/2012","Ozone","87","3","10","38","87","31","55"
"05/26/2012","Ozone","84","3","4","15","84","25","35"
"05/27/2012","Ozone","51","2","1","18","51","6","12"
"05/28/2012","Ozone","77","3","3","13","77","7","15"
"05/29/2012","Ozone","84","5","16","29","84","31","37"
"05/30/2012","Ozone","77","3","7","22","77","21","31"
"05/31/2012","Ozone","43","3","1","23","43","27","29"
"06/01/2012","Ozone","47","3","6","24","47","28","32"
"06/02/2012","Ozone","48","2","13","15","48","24","32"
"06/03/2012","Ozone","71","3","19","16","71","24","38"
"06/04/2012","Ozone","100","5","6","36","100","44","52"
"06/05/2012","Ozone","74","2","20","22","74","44","51"
"06/06/2012","Ozone","47","2","3","13","47","10","11"
"06/07/2012","Ozone","93","5","4","37","93","21","23"
"06/08/2012","Ozone","71","3","11","27","71","43","32"
"06/09/2012","Ozone","54","2","7","10","54","13","20"
"06/10/2012","Ozone","41","1","7","7","41","5","16"
"06/11/2012","Ozone","61","3","4","21","61","23","23"
"06/12/2012","Ozone","100","3","6","26","100","25","25"
"06/13/2012","Ozone","77",".","10",".","77","29","29"
"06/14/2012","Ozone","90","3","9",".","90","25","27"
"06/15/2012","Ozone","80","3","6","25","80","47","32"
"06/16/2012","Ozone","80","3","6","23","80","21","24"
"06/17/2012","Ozone","90","5","6","25","90","27","36"
"06/18/2012","Ozone","67","3","17","16","67","30","39"
"06/19/2012","Ozone","50","2","7","11","50","22","25"
"06/20/2012","Ozone","67","2","7","20","67","52","18"
"06/21/2012","Ozone","151","5","11","41","151","60","41"
"06/22/2012","Ozone","122","5","41","27","122","50","56"
"06/23/2012","Ozone","100","2","9","10","100","35","52"
"06/24/2012","Ozone","58","2","47","17","58","22","52"
"06/25/2012","Ozone","61","3","11","26","61","56","54"
"06/26/2012","Ozone","61","2","11","11","61","41","51"
"06/27/2012","Ozone","80","3","24","25","80","40","36"
"06/28/2012","PM2.5","51","5","16","26","46","42","51"
"06/29/2012","Ozone","61","3","14","17","61","35","44"
"06/30/2012","Ozone","100","3","31","41","100","36","47"
"07/01/2012","Ozone","87","3","27","16","87","27","60"
"07/02/2012","Ozone","126","5","43","25","126","51","52"
"07/03/2012","Ozone","54",".","21","22","54","41","47"
"07/04/2012","Ozone","97","2","21","14","97","35","76"
"07/05/2012","PM2.5","54","3","13","14","47","31","54"
"07/06/2012","Ozone","112","3","9","14","112","23","67"
"07/07/2012","Ozone","80","2","20","5","80","24","40"
"07/08/2012","Ozone","100","2","27","13","100","18","47"
"07/09/2012","Ozone","119","2","14","20","119","32","35"
"07/10/2012","Ozone","133","3","34","27","133","55","39"
"07/11/2012","Ozone","61","3","17","31","61","44","33"
"07/12/2012","Ozone","90","3","14","22","90","28","33"
"07/13/2012","Ozone","61","6","16","25","61","54","59"
"07/14/2012","Ozone","45","3","4","15","45","13","30"
"07/15/2012","Ozone","49","5","37","18","49","14","29"
"07/16/2012","Ozone","67","2","7","23","67","17","22"
"07/17/2012","Ozone","61","2","9","21","61","12","24"
"07/18/2012","Ozone","67","3","17","24","67","20","40"
"07/19/2012","Ozone","80","5","26","31","80","45","40"
"07/20/2012","Ozone","84","3","19","23","84","28","36"
"07/21/2012","Ozone","90","2","20","15","90","22","31"
"07/22/2012","Ozone","77","5","16","8","77","34","56"
"07/23/2012","Ozone","49","2","14","12","49","19","38"
"07/24/2012","PM2.5","61","3","9","24","49","23","61"
"07/25/2012","Ozone","71","3","16","19","71","24","42"
"07/26/2012","Ozone","101","3","11","24","101","32","46"
"07/27/2012","Ozone","50","2","17","19","50","35","41"
"07/28/2012","Ozone","58","2","17","21","58","19","31"
"07/29/2012","Ozone","80","5","10","9","80","19","37"
"07/30/2012","Ozone","90","3","17","24","90","31","44"
"07/31/2012","Ozone","87","3","14","28","87","30","33"
"08/01/2012","Ozone","74","2","6",".","74","21","45"
"08/02/2012","Ozone","51","2","11",".","51","29","45"
"08/03/2012","Ozone","58","3","16","31","58","40","54"
"08/04/2012","Ozone","74","3","14","21","74","25","40"
"08/05/2012","Ozone","80","5","14","18","80","31","55"
"08/06/2012","Ozone","84","2","10","26","84","26","54"
"08/07/2012","Ozone","140","5","21","36","140","43","46"
"08/08/2012","Ozone","143","5","51","38","143","55","60"
"08/09/2012","Ozone","101","5","11","37","101","52","59"
"08/10/2012","Ozone","50","5","19","36","50","49","43"
"08/11/2012","Ozone","108","2","10","19","108","19","30"
"08/12/2012","Ozone","140","3","13","19","140","43","71"
"08/13/2012","Ozone","90","3","11","24","90","28","38"
"08/14/2012","Ozone","100","3","7","36","100","34","55"
"08/15/2012","Ozone","93","6","23","37","93","44","66"
"08/16/2012","Ozone","101","6","17","40","101","64","78"
"08/17/2012","Ozone","100","6","16","40","100","54","68"
"08/18/2012","Ozone","119","5","9","32","119","52","72"
"08/19/2012","Ozone","126","5","19","25","126","52","79"
"08/20/2012","PM2.5","69","5","11","26","61","53","69"
"08/21/2012","PM2.5","59","5","11","34","54","55","59"
"08/22/2012","Ozone","42","5","11","32","42","30","24"
"08/23/2012","Ozone","51","3","7","29","51","30","30"
"08/24/2012","PM2.5","66","5","10","33","49","38","66"
"08/25/2012","Ozone","90","5","13","28","90","39","57"
"08/26/2012","Ozone","67","3","29","22","67","26","34"
"08/27/2012","Ozone","48","3","29","34","48","19","24"
"08/28/2012","Ozone","47","5","24","30","47","22","22"
"08/29/2012","Ozone","51","5","20","36","51","23","25"
"08/30/2012","Ozone","51","5","19","37","51","43","27"
"08/31/2012","Ozone","47","5","11","36","47","27","41"
"09/01/2012","Ozone","46","2","6","12","46","12","18"
"09/02/2012","Ozone","61","2","16","19","61","13","26"
"09/03/2012","Ozone","71","2","7","19","71","16","28"
"09/04/2012","Ozone","49","5","13","33","49","26","24"
"09/05/2012","Ozone","64","5","11","33","64","27","31"
"09/06/2012","PM10","42","5","7","36","41","42","30"
"09/07/2012","Ozone","50","5","7","30","50","34","43"
"09/08/2012","Ozone","90","5","20","28","90","37","50"
"09/09/2012","Ozone","84","3","14","25","84","31","39"
"09/10/2012","Ozone","36","6","11","32","36","26","27"
"09/11/2012","Ozone","38","3","9","24","38","16","24"
"09/12/2012","Ozone","50","5","7","30","50","28","34"
"09/13/2012","Ozone","67","5","10","39","67","54","58"
"09/14/2012","Ozone","71","7","20","43","71","42","56"
"09/15/2012","Ozone","51","6","9","30","51","28","43"
"09/16/2012","Ozone","47","5","13","35","47","22","33"
"09/17/2012","PM2.5","86","6","10","32","51","53","86"
"09/18/2012","PM2.5","95","8","9","44","93","57","95"
"09/19/2012","PM2.5","67","7","20","42","61","52","67"
"09/20/2012","PM2.5","63","7","10","41","51","51","63"
"09/21/2012","Ozone","74","7","14","74","74","56","73"
"09/22/2012","PM2.5","78","7","9","67","77","51","78"
"09/23/2012","NO2","62","6","17","62","44","41","46"
"09/24/2012","NO2","51","2","6","51","44","24","47"
"09/25/2012","Ozone","31","3","4","20","31","11","29"
"09/26/2012","Ozone","43","6","6","18","43","19","28"
"09/27/2012","Ozone","44","5","10","21","44","27","39"
"09/28/2012","PM2.5","49","5","7","28","47","28","49"
"09/29/2012","PM2.5","56","5","17","25","46","27","56"
"09/30/2012","PM2.5","54","3","10","23","47","29","54"
"10/01/2012","Ozone","42","7","11","31","42","32","36"
"10/02/2012","Ozone","34","6","10","31","34","29","31"
"10/03/2012","PM10","53","6","7","26","44","53","44"
"10/04/2012","PM10","60","6","14","32","37","60","59"
"10/05/2012","PM2.5","47","6","11","23","42","36","47"
"10/06/2012","PM2.5","58","5","11","27","40","32","58"
"10/07/2012","PM2.5","48","5","9","25","47","27","48"
"10/08/2012","NO2","40","7","13","40","34","37","38"
"10/09/2012","PM10","43","8","11","33","35","43","40"
"10/10/2012","PM2.5","40","8","14","35","31","40","40"
"10/11/2012","PM10","35","6","10","25","31","35","34"
"10/12/2012","PM10","30","6","11","26","23","30","26"
"10/13/2012","Ozone","22","3","7","16","22","8","17"
"10/14/2012","Ozone","35","5","7","19","35","16","28"
"10/15/2012","Ozone","31","7","4","29","31","19","30"
"10/16/2012","PM2.5","30","6","16","26","26","21","30"
"10/17/2012","Ozone","37","6","7","26","37","19","28"
"10/18/2012","PM2.5","41","7","10","35","35","29","41"
"10/19/2012","PM2.5","35","7","13","34","22","27","35"
"10/20/2012","Ozone","28","7","19","27","28","19","25"
"10/21/2012","PM2.5","41","7","14","28","34","25","41"
"10/22/2012","PM10","38","5","10","20","33","38","24"
"10/23/2012","Ozone","33","3","4","20","33","9","25"
"10/24/2012","Ozone","34","3","4","24","34","7","17"
"10/25/2012","NO2","25","5","11","25","24","8","20"
"10/26/2012","NO2","29","6","9","29","28","14","26"
"10/27/2012","Ozone","32","6","10","25","32","15","30"
"10/28/2012","Ozone","33","6","6","26","33","10","21"
"10/29/2012","NO2","28","9","6","28","24","19","23"
"10/30/2012","PM2.5","31","8","9","28","21","30","31"
"10/31/2012","PM2.5","31","9","10","31","21","24","31"
"11/01/2012","NO2","33","9","6","33","27","25","19"
"11/02/2012","Ozone","28","8","6","28","28","19","23"
"11/03/2012","PM2.5","35","7","9","29","29","25","35"
"11/04/2012","Ozone","31","8","7","28","31","16","28"
"11/05/2012","PM2.5","40","9","7","35","21","36","40"
"11/06/2012","PM2.5","39","9","16","36","22","21","39"
"11/07/2012","NO2","38","9","6","38","21","31","25"
"11/08/2012","PM10","45","8","16","31","43","45","36"
"11/09/2012","Ozone","32",".","4","26","32","17","18"
"11/10/2012","PM2.5","31","5","3","27","31","9","31"
"11/11/2012","PM2.5","30","5","3","27","29","9","30"
"11/12/2012","PM2.5","53","10","6","42","19","32","53"
"11/13/2012","PM2.5","80","17","6","50","16","46","80"
"11/14/2012","PM2.5","83","17","6","35","14","47","83"
"11/15/2012","PM2.5","96","17","9","42","14","53","96"
"11/16/2012","PM2.5","78","18","7","49","12","51","78"
"11/17/2012","Ozone","27","7","7","25","27","12","20"
"11/18/2012","Ozone","31","5","14","26","31","7","13"
"11/19/2012","Ozone","32","6","13","27","32","15","15"
"11/20/2012","PM2.5","42","9","27","33","25","16","42"
"11/21/2012","Ozone","35","8","19","31","35","18","16"
"11/22/2012","Ozone","35","6","3","27","35","6","13"
"11/23/2012","PM2.5","35","11","20","33","23","19","35"
"11/24/2012","PM2.5","66","13","10","30","18","35","66"
"11/25/2012","PM2.5","79","14","7","30","7","38","79"
"11/26/2012","PM2.5","62","13","11","31","13","44","62"
"11/27/2012","PM2.5","60","14","10","37","12","45","60"
"11/28/2012","PM2.5","60","13","3","35","31","44","60"
"11/29/2012","Ozone","32","9","11","32","32","31","24"
"11/30/2012","Ozone","33","3","10","16","33","30","14"
"12/01/2012","Ozone","26","3","17","22","26","11","10"
"12/02/2012","Ozone","34","3","14","7","34","18","16"
"12/03/2012","NO2","32","6","4","32","22","16","24"
"12/04/2012","PM2.5","30","9","6","30","10","17","30"
"12/05/2012","PM2.5","69","15","7","28","1","28","69"
"12/06/2012","PM2.5","74","15","6","25","7","31","74"
"12/07/2012","PM2.5","31","9","6","31","29","16","31"
"12/08/2012","Ozone","33","6","9","27","33","6","13"
"12/09/2012","Ozone","29","6","4","29","29","12","28"
"12/10/2012","PM2.5","40","14","6","36","19","22","40"
"12/11/2012","PM2.5","35","14","11","34","32","20","35"
"12/12/2012","NO2","39","9","11","39","34","21","15"
"12/13/2012","NO2","37","8","7","37","21","22","16"
"12/14/2012","NO2","41","9","9","41","19","19","32"
"12/15/2012","NO2","33","5","7","33","22","6","25"
"12/16/2012","NO2","33","6","4","33","32","8","24"
"12/17/2012","Ozone","31","5","6","25","31","10","15"
"12/18/2012","NO2","32","5","3","32","20","15","15"
"12/19/2012","NO2","32","5","3","32","30","12","20"
"12/20/2012","PM2.5","44","11","6","43","17","30","44"
"12/21/2012","PM2.5","50","13","6","42","22","31","50"
"12/22/2012","NO2","41","15","4","41","34","22","35"
"12/23/2012","Ozone","37","3","9","29","37","13","23"
"12/24/2012","NO2","39","5","4","39","34","6","17"
"12/25/2012","PM2.5","40","6","3","38","31","14","40"
"12/26/2012","NO2","37","7","6","37","27","12","31"
"12/27/2012","NO2","37","5","7","37","26","12","26"
"12/28/2012","PM2.5","46","5","4","37","27","19","46"
"12/29/2012","PM2.5","70","7","4","43","21","32","70"
"12/30/2012","PM2.5","78","8","4","43","32","31","78"
"12/31/2012","PM2.5","62","5","3","42","24","23","62"
