"Date","Main Pollutant","Overall AQI Value","CO","SO2","NO2","Ozone","PM10","PM25"
"01/01/2012","PM2.5","71","11","10","39","20","33","71"
"01/02/2012","PM2.5","73","14","10","38","10","39","73"
"01/03/2012","PM2.5","85",".","21","45","6","55","85"
"01/04/2012","PM2.5","99","30","10","51","5","64","99"
"01/05/2012","PM2.5","101","31","10","55","5","54","101"
"01/06/2012","PM2.5","96","18","10","48","9","45","96"
"01/07/2012","PM2.5","51","8","3","35","23","12","51"
"01/08/2012","PM2.5","53","8","4","35","22","20","53"
"01/09/2012","PM2.5","76","15","6","49","13","45","76"
"01/10/2012","PM2.5","89","16","9","45","8","44","89"
"01/11/2012","PM2.5","63",".","6","38","21","28","63"
"01/12/2012","PM2.5","64","11","9","46","15","38","64"
"01/13/2012","PM2.5","67","15","7","50",".","42","67"
"01/14/2012","PM2.5","77","19","11","47",".","48","77"
"01/15/2012","PM10","58","20","11","35",".","58","31"
"01/16/2012","PM10","62","6","4","37",".","62","28"
"01/17/2012","PM10","55","10","7","41","21","55","25"
"01/18/2012","PM10","38","11","10","38","24","38","36"
"01/19/2012","NO2","34","13","17","34","7","21","22"
"01/20/2012","PM10","45","8","6","34","35","45","38"
"01/21/2012","Ozone","34","5","4","29","34","6","7"
"01/22/2012","Ozone","30","5","6","30","30","8","13"
"01/23/2012","NO2","41","7","9","41","21","12","28"
"01/24/2012","NO2","35","6","4","35","21","12","27"
"01/25/2012","PM2.5","51","11","6","38","16","29","51"
"01/26/2012","PM2.5","43","13","11","33","14","32","43"
"01/27/2012","Ozone","31","10","3","27","31","27","17"
"01/28/2012","PM2.5","46","7","4","39","23","25","46"
"01/29/2012","PM2.5","54","14","13","43","21","26","54"
"01/30/2012","PM2.5","81","17","10","42","8","51","81"
"01/31/2012","PM2.5","86","15","10","49","12","53","86"
"02/01/2012","PM2.5","52","14","6","38","10","36","52"
"02/02/2012","NO2","32","6","4","32","23","12","31"
"02/03/2012","PM2.5","38","5","9","25","36","21","38"
"02/04/2012","PM2.5","41","2","4","10","38","18","41"
"02/05/2012","PM2.5","56","7","4","42","37","20","56"
"02/06/2012","PM2.5","65","11","7","46","28","37","65"
"02/07/2012","PM2.5","62","7","9","49","38","37","62"
"02/08/2012","PM2.5","60","9","9","54","26","29","60"
"02/09/2012","PM2.5","62","7","4","41","19","28","62"
"02/10/2012","PM2.5","55","7","4","42","24","26","55"
"02/11/2012","NO2","39","7","6","39","24","27","33"
"02/12/2012","PM2.5","47","6","4","41","15","11","47"
"02/13/2012","NO2","40","14","6","40","27","10","34"
"02/14/2012","NO2","42","5","4","42","32","10","23"
"02/15/2012","NO2","42","5","7","42","28","14","33"
"02/16/2012","NO2","40","7","4","40","30","14","36"
"02/17/2012","PM2.5","50","7","6","44","25","22","50"
"02/18/2012","NO2","44","6","4","44","32","16","34"
"02/19/2012","NO2","35","5","4","35","34","5","9"
"02/20/2012","NO2","39","5","7","39","30","15","18"
"02/21/2012","NO2","47","6","6","47","24","18","15"
"02/22/2012","Ozone","35","6","6","28","35","19","16"
"02/23/2012","Ozone","36","5","6","36","36","6","13"
"02/24/2012","NO2","38","9","6","38","35","11","20"
"02/25/2012","Ozone","36","7","11","33","36","27","13"
"02/26/2012","Ozone","37","6","6","33","37","7","10"
"02/27/2012","NO2","36","9","7","36","20","18","27"
"02/28/2012","PM2.5","31","6","6","30","31","12","31"
"02/29/2012","Ozone","42","6","7","26","42","8","11"
"03/01/2012","Ozone","38","7","6","37","38","8","10"
"03/02/2012","Ozone","37","5","4","30","37","12","21"
"03/03/2012","NO2","37","6","7","37","32","13","20"
"03/04/2012","NO2","40","8","4","40","37","10","15"
"03/05/2012","NO2","41","14","20","41","38","24","15"
"03/06/2012","PM10","40","6","6","10","38","40","15"
"03/07/2012","NO2","42","5","10","42","38","12","18"
"03/08/2012","NO2","42","6","9","42","33","19","32"
"03/09/2012","PM2.5","62","9","19","52","34","41","62"
"03/10/2012","PM2.5","70","9","13","47","41","44","70"
"03/11/2012","Ozone","46","10","13","41","46","27","38"
"03/12/2012","Ozone","46","7","9","45","46","31","26"
"03/13/2012","Ozone","44","2","4","7","44","40","33"
"03/14/2012","Ozone","42","3","4","24","42","22","15"
"03/15/2012","Ozone","46","6","4","37","46","23","19"
"03/16/2012","Ozone","46","3","6","23","46","26","20"
"03/17/2012","Ozone","46","2","7","8","46","36","20"
"03/18/2012","Ozone","46","2","7","6","46","7","8"
"03/19/2012","Ozone","38","5","6","38","38","6","13"
"03/20/2012","Ozone","40","5","4","31","40","11","16"
"03/21/2012","Ozone","39","5","4","37","39","11","13"
"03/22/2012","Ozone","43","6","13","28","43","16","14"
"03/23/2012","Ozone","43","5","29","34","43","27","16"
"03/24/2012","Ozone","44","5","11","37","44","14","16"
"03/25/2012","Ozone","41","6","7","23","41","13","17"
"03/26/2012","Ozone","47","2","21","27","47","19","13"
"03/27/2012","Ozone","47","3","10","37","47","11","20"
"03/28/2012","Ozone","47","5","9","37","47","19","33"
"03/29/2012","Ozone","36","7","7","29","36","19","23"
"03/30/2012","Ozone","39","7","9","34","39","17","22"
"03/31/2012","PM10","50","5","17","24","49","50","40"
"04/01/2012","Ozone","44","2","17","12","44","19","19"
"04/02/2012","Ozone","44","3","23","21","44","19","11"
"04/03/2012","Ozone","44","3","4","33","44","19","20"
"04/04/2012","Ozone","49","5","10","34","49","26","19"
"04/05/2012","Ozone","44","6","16","33","44","19","16"
"04/06/2012","Ozone","42","3","19","16","42","12","13"
"04/07/2012","Ozone","47","5","4","38","47","14","25"
"04/08/2012","Ozone","64","7","10","43","64","24","40"
"04/09/2012","Ozone","46","8","11","43","46","32","36"
"04/10/2012","Ozone","47","5","11","39","47","20","24"
"04/11/2012","Ozone","50","5","10","30","50","23","23"
"04/12/2012","Ozone","44","5","7","26","44","7","11"
"04/13/2012","Ozone","64","5","6","20","64","9","15"
"04/14/2012","Ozone","64","3","3","26","64","10","26"
"04/15/2012","Ozone","51","5","19","24","51","7","14"
"04/16/2012","Ozone","49","5","7","31","49","13","12"
"04/17/2012","Ozone","49","3","11","26","49","9","14"
"04/18/2012","Ozone","43","5","7","31","43","11","16"
"04/19/2012","Ozone","47","7","4","30","47","10","13"
"04/20/2012","Ozone","33","6","4","28","33","10","16"
"04/21/2012","Ozone","51","5","4","26","51","15","24"
"04/22/2012","Ozone","84","6","13","26","84","14","23"
"04/23/2012","Ozone","64","5","13","32","64","25","26"
"04/24/2012","Ozone","61","3","9","38","61","19","25"
"04/25/2012","Ozone","54","5","10","35","54","25","29"
"04/26/2012","Ozone","54","3","14","19","54","22","13"
"04/27/2012","Ozone","54","2","1","14","54","6","12"
"04/28/2012","Ozone","49","2","4","15","49","6","15"
"04/29/2012","Ozone","42","2","3","18","42","8","14"
"04/30/2012","Ozone","61","5","13","30","61","19","35"
"05/01/2012","Ozone","58","3","1","22","58","50","26"
"05/02/2012","Ozone","80","3","3","31","80","19","30"
"05/03/2012","PM10","53","5","7","33","47","53","34"
"05/04/2012","Ozone","74","3","1","23","74","19","30"
"05/05/2012","Ozone","77","2","3","14","77","19","22"
"05/06/2012","Ozone","84","3","1","23","84","15","31"
"05/07/2012","Ozone","74","3","3","25","74","24","22"
"05/08/2012","Ozone","84","3","3","34","84","24","25"
"05/09/2012","Ozone","93","5","1","33","93","30","29"
"05/10/2012","Ozone","84","5","1","24","84","38","82"
"05/11/2012","Ozone","77","3","1","21","77","23","24"
"05/12/2012","Ozone","67","5","6","25","67","19","33"
"05/13/2012","Ozone","84","3","3","24","84","26","24"
"05/14/2012","Ozone","112","5","24","32","112","51","40"
"05/15/2012","Ozone","93","5","10","32","93","37","38"
"05/16/2012","Ozone","93",".","6","29","93","43","41"
